Parent Path;Parent Node;Name;Addition;Label;Path;Type;Level;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;id;;Ordnungssystemposition: Id;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;per_aip;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;reihung;;Ordnungssystemposition: Reihung;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;per_aip;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;nummer;;Ordnungssystemposition: Nummer;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;per_aip;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;titel;;Ordnungssystemposition: Titel;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;per_aip;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;federfuehrendeOrganisationseinheit;;Ordnungssystemposition: Federführende Organisationseinheit;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;per_aip;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;schutzfristenkategorie;;Ordnungssystemposition: Schutzfristenkategorie;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;per_aip;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;schutzfrist;;Ordnungssystemposition: Schutzfrist;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;per_aip;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;schutzfristenBegruendung;;Ordnungssystemposition: Schutzfristen Begründung;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;per_aip;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;klassifizierungskategorie;;Ordnungssystemposition: Klassifizierungskategorie;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;per_aip;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;datenschutz;;Ordnungssystemposition: Datenschutz;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;per_aip;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;oeffentlichkeitsstatus;;Ordnungssystemposition: Öffentlichkeitsstatus;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;per_aip;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;oeffentlichkeitsstatusBegruendung;;Ordnungssystemposition: Öffentlichkeitsstatus Begründung;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;per_aip;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;sonstigeBestimmungen;;Ordnungssystemposition: Sonstige Bestimmungen;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;per_aip;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;zusatzDaten;;Ordnungssystemposition: Zusatz Daten;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;per_aip;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;ordnungssystemposition;;Ordnungssystemposition: Ordnungssystemposition;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;parent_only;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;dossier;;Ordnungssystemposition: Dossier;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;parent_only;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;mappe;;Ordnungssystemposition: Mappe;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;parent_only;;
/paket/ablieferung/ordnungssystem;ordnungssystemposition;archivischeNotiz;;Ordnungssystemposition: Archivische Notiz;/paket/ablieferung/ordnungssystem/ordnungssystemposition;element;parent_only;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;zusatzmerkmal;;Dossier: Zusatzmerkmal;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;titel;;Dossier: Titel;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;inhalt;;Dossier: Inhalt;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
/paket/ablieferung/ordnungssystem/ordnungssystemposition;dossier;formInhalt;;Dossier: Form Inhalt;/paket/ablieferung/ordnungssystem/ordnungssystemposition/dossier;element;per_aip;;
